,Plot,Plot.code,Classification,GS.Type,Site.Type,Site.Code,Genus.Code,Species.Code,Cultivar.Code,Species.Latin,Species.Common,DBH,Native_SLL,Native_ETF,Origin.Source,Comments
8917,UQAM,3,Private,Institutional,I,I2009,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,20,N,Y,USDA/LM,
9164,UQAM,3,Public,Streets,S,S2009,UL,ULDA,ULDADI,Ulmus davidiana 'Discovery',Japanese Elm,20,N,N,USDA/Mortens,
9673,UQAM,3,Private,Private Yards,Y,Y2003,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,20,N,Y,USDA/TC/LM/Mortens,
9773,UQAM,3,Private,Private Yards,Y,Y2029,MA,MA,MA,Magnolia x ,,20,N,N,NA,
8580,UQAM,3,Private,Institutional,I,I2001,LO,LOTA,LOTA,Lonicera Tatarica ,Tartarian honeysuckle,21,N,N,USDA,
8705,UQAM,3,Private,Institutional,I,I2004,AC,ACGI,ACGI,Acer Ginnala,Armur Maple,21,N,N,USDA/TC/Mortens,
8793,UQAM,3,Private,Institutional,I,I2008,HA,HAVI,HAVI,Hamamelis�virginiana,Witch Hazel,21,Y,Y,USDA,
8953,UQAM,3,Private,Institutional,I,I2009,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,21,N,N,Mortens/TC/USDA,
1,Dawson,1,Private,Institutional,I,I6,AB,ABBA,ABBA,Abies balsamea,Balsam fir,2.2,Y,Y,USDA/TC/LM,
8606,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,22,N,Y,USDA/LM,
8673,UQAM,3,Private,Institutional,I,I2001,RH,RHCA,RHCA,Rhamnus Cathartica,European Buckthorn,22,N,N,USDA/TC/Mortens,
9946,UQAM,3,Private,Private Yards,Y,Y2094,LO,LOTA,LOTA,Lonicera Tatarica ,Tartarian honeysuckle,22,N,N,USDA,
1698,Dawson,1,Private,Private,Y,Y118,RH,RHCA,RHCA,Rhamnus cathartica,European Buckthorn,2.3,N,N,USDA/TC/Mortens,
1699,Dawson,1,Private,Private,Y,Y118,RH,RHCA,RHCA,Rhamnus cathartica,European Buckthorn,2.3,N,N,USDA/TC/Mortens,
8723,UQAM,3,Private,Institutional,I,I2006,MA,MA,MA,Magnolia x ,,2.3,N,N,NA,
8942,UQAM,3,Private,Institutional,I,I2009,AC,ACRU,ACRU,Acer rubrum,Red Maple,2.4,Y,Y,USDA/LM/TC,
9525,UQAM,3,Public,Streets,S,S2058,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,2.4,Y,Y,USDA/LM,
9744,UQAM,3,Private,Private Yards,Y,Y2017,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,2.4,Y,Y,TC/LM,
1578,Dawson,1,Private,Private,Y,Y86,PR,PRAV,PRAV,Prunus avium ,Sweet cherry,2.5,N,N,USDA/TC,
8587,UQAM,3,Private,Institutional,I,I2001,PR,PRAV,PRAV,Prunus Avium,Sweet cherry,2.5,N,N,USDA/TC,
8603,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,2.5,N,Y,USDA/LM,
1973,Dawson,1,Private,Private,Y,Y118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,2.6,Y,Y,USDA/TC/LM,
8972,UQAM,3,Private,Institutional,I,I2009,AM,AMLA,AMLA,Amelanchier laevis,Amelanchier laevis,2.6,Y,Y,USDA/TC/Morton/APF(202),
9306,UQAM,3,Public,Streets,S,S2023,AC,ACGI,ACGI,Acer Ginnala,Armur Maple,2.6,N,N,USDA/TC/Mortens,
9313,UQAM,3,Public,Streets,S,S2023,AC,ACGI,ACGI,Acer Ginnala,Armur Maple,2.6,N,N,USDA/TC/Mortens,
8576,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,2.7,N,Y,USDA/LM,
8610,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,2.7,N,Y,USDA/LM,
8872,UQAM,3,Private,Institutional,I,I2009,PR,PRDO,PRDO,Prunus Domestica,Garden Plum,2.7,N,N,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6312543/,
8939,UQAM,3,Private,Institutional,I,I2009,LA,LALA,LALA,Larix Laricina,Tamarack,2.7,Y,Y,USDA/TC/LM,
9305,UQAM,3,Public,Streets,S,S2023,AC,ACGI,ACGI,Acer Ginnala,Armur Maple,2.7,N,N,USDA/TC/Mortens,
9307,UQAM,3,Public,Streets,S,S2023,AC,ACGI,ACGI,Acer Ginnala,Armur Maple,2.7,N,N,USDA/TC/Mortens,
9311,UQAM,3,Public,Streets,S,S2023,AC,ACGI,ACGI,Acer Ginnala,Armur Maple,2.7,N,N,USDA/TC/Mortens,
1972,Dawson,1,Private,Private,Y,Y118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,2.8,Y,Y,USDA/TC/LM,
8659,UQAM,3,Private,Institutional,I,I2001,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,2.8,N,Y,USDA/TC/LM/Mortens,
8984,UQAM,3,Private,Institutional,I,I2009,AM,AMLA,AMLA,Amelanchier laevis,Amelanchier laevis,2.8,Y,Y,USDA/TC/Morton/APF(202),
9312,UQAM,3,Public,Streets,S,S2023,AC,ACGI,ACGI,Acer Ginnala,Armur Maple,2.8,N,N,USDA/TC/Mortens,
9806,UQAM,3,Private,Private Yards,Y,Y2033,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,2.8,Y,Y,USDA/TC/LM,
1974,Dawson,1,Private,Private,Y,Y118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,2.9,Y,Y,USDA/TC/LM,
8464,UQAM,3,Private,Private Yards,Y,Y2103,AC,ACPL,ACPL,Acer platanoides,Norway Maple,2.9,N,N,USDA/TC,
8574,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,2.9,N,Y,USDA/LM,
8965,UQAM,3,Private,Institutional,I,I2009,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,2.9,Y,Y,USDA/TC/LM,
9816,UQAM,3,Private,Private Yards,Y,Y2036,SY,SY,SYXX,Syringa species,,2.9,N,N,Brittanica,
9908,UQAM,3,Private,Private Yards,Y,Y2079,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,2.9,Y,Y,USDA/TC/LM,
94,Dawson,1,Private,Institutional,I,I6,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,3,N,Y,USDA/TC/LM/Mortens,
1981,Dawson,1,Private,Private,Y,Y118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3,Y,Y,USDA/TC/LM,
2283,Dawson,1,Private,Institutional,I,I6,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,3,N,N,USDA/TC/LM,
2289,Dawson,1,Private,Institutional,I,I6,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,3,N,N,USDA/TC/LM,
2461,Dawson,1,Public,Parks,P,P12,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,3,Y,Y,USDA/TC/LM,
2466,Dawson,1,Public,Parks,P,P12,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,3,Y,Y,USDA/TC/LM,
2467,Dawson,1,Public,Parks,P,P12,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,3,Y,Y,USDA/TC/LM,
3131,Dawson,1,Public,Parks,P,P15,AM,AMCA,AMCA,Amelanchier canadensis,Canadian Serviceberry,3,Y,Y,USDA/TC/LM,Synonym: Amelanchier arborea
3189,Dawson,1,Public,Streets,S,S181,CY,CYCO,CYCO,Carya Cordiformis,Bitternut Hickory,3,Y,Y,USDA/TC/LM,
3504,Dawson,1,Public,Parks,P,P12,PI,PIGL,PIGL,Picea glauca,White Spruce,3,Y,Y,USDA/TC/LM,
4007,Dawson,1,Public,Streets,S,S184,SY,SYRE,SYRE,Syringa reticulata,Japanese Tree Lilac,3,N,N,USDA/Mortens,
8578,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,3,N,Y,USDA/LM,
8590,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,3,N,Y,USDA/LM,
8607,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,3,N,Y,USDA/LM,
8801,UQAM,3,Private,Institutional,I,I2008,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,3,N,Y,USDA/TC/LM/Mortens,
8971,UQAM,3,Private,Institutional,I,I2009,AM,AMLA,AMLA,Amelanchier laevis,Amelanchier laevis,3,Y,Y,USDA/TC/Morton/APF(202),
9326,UQAM,3,Public,Streets,S,S2024,SY,SYRE,SYRE,Syringa reticulata,Japanese Tree Lilac,3,N,N,USDA/Mortens,
9484,UQAM,3,Public,Streets,S,S2053,AC,ACPL,ACPL,Acer platanoides,Norway Maple,3,N,N,USDA/TC,
9649,UQAM,3,Private,Private Yards,Y,Y2002,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3,Y,Y,USDA/TC/LM,
9670,UQAM,3,Private,Private Yards,Y,Y2003,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,3,N,Y,USDA/TC/LM/Mortens,
9674,UQAM,3,Private,Private Yards,Y,Y2003,UL,ULRU,ULRU,Ulmus rubra,,3,Y,Y,https://www.fs.fed.us/database/feis/plants/tree/ulmrub/all.html,
9676,UQAM,3,Private,Private Yards,Y,Y2004,MO,MOAL,MOAL,Morus Alba,White Mulberry,3,N,N,USDA/TC/Mortens,
1399,Dawson,1,Private,Private,Y,Y158,OS,OSVI,OSVI,Ostrya virginiana,American Hop-Hornbeam Ironwood,3.1,Y,Y,USDA/TC/LM,
1675,Dawson,1,Private,Institutional,I,I2,QU,QURU,QURU,Quercus rubra,Red Oak,3.1,Y,Y,TC/LM,
1697,Dawson,1,Private,Private,Y,Y118,RH,RHCA,RHCA,Rhamnus cathartica,European Buckthorn,3.1,N,N,USDA/TC/Mortens,
8529,UQAM,3,Private,Private Yards,Y,Y2103,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3.1,Y,Y,USDA/TC/LM,
8618,UQAM,3,Private,Institutional,I,I2001,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,3.1,N,Y,USDA/TC/LM/Mortens,
8995,UQAM,3,Private,Institutional,I,I2010,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,3.1,N,Y,USDA/TC/LM/Mortens,
1609,Dawson,1,Private,Private,Y,Y118,PR,PRVI,PRVI,Prunus virginiana,Chokecherry,3.2,Y,Y,USDA/TC/LM,Synonym: Common chokecherry
1971,Dawson,1,Private,Private,Y,Y118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3.2,Y,Y,USDA/TC/LM,
8593,UQAM,3,Private,Institutional,I,I2001,RH,RHCA,RHCA,Rhamnus Cathartica,European Buckthorn,3.2,N,N,USDA/TC/Mortens,
8640,UQAM,3,Private,Institutional,I,I2001,AC,ACPL,ACPL,Acer platanoides,Norway Maple,3.2,N,N,USDA/TC,
8682,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,3.2,N,Y,USDA/LM,
9314,UQAM,3,Public,Streets,S,S2023,AC,ACGI,ACGI,Acer Ginnala,Armur Maple,3.2,N,N,USDA/TC/Mortens,
9574,UQAM,3,Public,Streets,S,S2068,AC,ACPL,ACPL,Acer platanoides,Norway Maple,3.2,N,N,USDA/TC,
9651,UQAM,3,Private,Private Yards,Y,Y2002,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3.2,Y,Y,USDA/TC/LM,
9770,UQAM,3,Private,Private Yards,Y,Y2026,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,3.2,N,Y,USDA/TC/LM/Mortens,
9893,UQAM,3,Private,Private Yards,Y,Y2076,AC,ACRU,ACRU,Acer rubrum,Red Maple,3.2,Y,Y,USDA/LM/TC,
53,Dawson,1,Private,Private,Y,Y118,AC,ACGI,ACGI,Acer ginnala,Armur Maple,3.3,N,N,USDA/TC/Mortens,
8611,UQAM,3,Private,Institutional,I,I2001,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,3.3,N,Y,USDA/LM,
8802,UQAM,3,Private,Institutional,I,I2008,AC,ACGI,ACGI,Acer Ginnala,Armur Maple,3.3,N,N,USDA/TC/Mortens,
9830,UQAM,3,Private,Private Yards,Y,Y2039,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3.3,Y,Y,USDA/TC/LM,
678,Dawson,1,Private,Private,Y,Y113,AR,ARSP,ARSP,Aralia Spinosa,,3.4,N,Y,https://www.fs.fed.us/database/feis/plants/tree/araspi/all.html,
709,Dawson,1,Private,Private,Y,Y161,CE,CECA,CECA,Cercis canadensis,,3.4,N,Y,https://www.srs.fs.usda.gov/pubs/misc/ag_654/volume_2/cercis/canadensis.htm,
1696,Dawson,1,Private,Private,Y,Y118,RH,RHCA,RHCA,Rhamnus cathartica,European Buckthorn,3.4,N,N,USDA/TC/Mortens,
1979,Dawson,1,Private,Private,Y,Y118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3.4,Y,Y,USDA/TC/LM,
8983,UQAM,3,Private,Institutional,I,I2009,AM,AMLA,AMLA,Amelanchier laevis,Amelanchier laevis,3.4,Y,Y,USDA/TC/Morton/APF(202),
9277,UQAM,3,Public,Streets,S,S2018,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,3.4,N,N,Mortens/TC/USDA,
9316,UQAM,3,Public,Streets,S,S2023,AM,AM,AM,Amelanchier,,3.4,Y,Y,NA,
9657,UQAM,3,Private,Private Yards,Y,Y2002,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,3.4,Y,Y,USDA/TC/LM,
9828,UQAM,3,Private,Private Yards,Y,Y2039,AC,ACFR,ACFR,Acer x freemannii,FREEMAN MAPLE,3.4,Y,Y,Mortens/LM,Hybrid of two SLL native species: Acer saccharinum & Acer rubrum
8608,UQAM,3,Private,Institutional,I,I2001,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,3.5,N,Y,USDA/TC/LM/Mortens,
8641,UQAM,3,Private,Institutional,I,I2001,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,3.5,N,Y,USDA/TC/LM/Mortens,
8646,UQAM,3,Private,Institutional,I,I2001,LO,LOTA,LOTA,Lonicera Tatarica ,Tartarian honeysuckle,3.5,N,N,USDA,
8957,UQAM,3,Private,Institutional,I,I2009,UL,ULRU,ULRU,Ulmus rubra,,3.5,Y,Y,https://www.fs.fed.us/database/feis/plants/tree/ulmrub/all.html,
8982,UQAM,3,Private,Institutional,I,I2009,AM,AMLA,AMLA,Amelanchier laevis,Amelanchier laevis,3.5,Y,Y,USDA/TC/Morton/APF(202),
9276,UQAM,3,Public,Streets,S,S2018,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,3.5,N,N,Mortens/TC/USDA,
9304,UQAM,3,Public,Streets,S,S2023,AC,ACGI,ACGI,Acer Ginnala,Armur Maple,3.5,N,N,USDA/TC/Mortens,
9324,UQAM,3,Public,Streets,S,S2024,SY,SYRE,SYRE,Syringa reticulata,Japanese Tree Lilac,3.5,N,N,USDA/Mortens,
9824,UQAM,3,Private,Private Yards,Y,Y2039,AC,ACSC,ACSC,Acer saccharum,Sugar Maple,3.5,Y,Y,TC/LM,
764,Dawson,1,Private,Private,Y,Y146,CG,CGPU,CGPU,Crataegus punctata,Dotted Hawthorn,3.6,Y,Y,USDA/TC/NRC/ http://www.efloras.org/object_page.aspx?object_id=126879&flora_id=1 / https://www.wildflower.org/plants/result.php?id_plant=CRPU,Refer to websites in Origin Source column: found in Quebec and Ontario therefore deemed native to the saint-Laurence Lowlands (KP)
1755,Dawson,1,Private,Private,Y,Y136,SY,SYPU,SYPU,Syringa pubescens,,3.6,N,N,https://plants.ces.ncsu.edu/plants/syringa-pubescens-subsp-pubescens/,
1820,Dawson,1,Private,Private,Y,Y161,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,3.6,N,N,USDA/TC/Mortens,
2215,Dawson,1,Private,Private,Y,Y114,UL,ULAM,ULAM,Ulmus americana,White Elm,3.6,Y,Y,USDA/TC/LM,
6640,Loyola,2,Public,Row,S,S1027,MC,MCAM,MCAM,Maackia amurensis,Amur Maackia,3.6,N,N,Mortens,
9308,UQAM,3,Public,Streets,S,S2023,AM,AM,AM,Amelanchier,,3.6,Y,Y,NA,
9424,UQAM,3,Public,Streets,S,S2044,GL,GLTR,GLTR,Gleditsia triacanthos,Common Honey-Locust,3.6,N,Y,USDA/TC/LM,
9580,UQAM,3,Public,Streets,S,S2068,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,3.6,N,Y,USDA/LM,
9833,UQAM,3,Private,Private Yards,Y,Y2039,AB,ABBA,ABBA,Abies Balsamea,Balsam fir,3.6,Y,Y,USDA/TC/LM,
6996,Loyola,2,Private,Inst,I,I1016,PR,PRDO,PRDO,Prunus Domestica,Garden Plum,3.7,N,N,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6312543/,
9273,UQAM,3,Public,Streets,S,S2018,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,3.7,N,N,Mortens/TC/USDA,
9275,UQAM,3,Public,Streets,S,S2018,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,3.7,N,N,Mortens/TC/USDA,
9366,UQAM,3,Public,Streets,S,S2031,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,3.7,N,Y,USDA/LM,
9951,UQAM,3,Private,Private Yards,Y,Y2095,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,3.7,N,N,USDA/TC/LM,
