Site_Code,fid,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ESSENCE,DIAMETRE (CM),TYPE_EMP,PROPRIETE,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM
S205,76,581,586,{01029BC7-ADEE-4840-9FFE-6F8BBB5E4E41},381,VOPA_087,OSVI,4,EMPRI,PUB, ,AUC,,, ,N,,,,DHP
S194,78,594,599,{90A17256-75E0-427B-BFE5-3EA54D793FF9},1,VOPA_151,CEOCPS,9,EMPRI,PUB,,AUC,,, ,N,,,,DHP
S219,79,595,600,{011D88D7-A6B5-46CB-9796-5876EC901433},468,VOPA_151,ACPL,113,EMPRI,PUB,"Branches tombées le 11062020
TVJV blessure sévère avec carie sur br secondaire côté SO, bois mort en cime  chancre au tronc",HAFLSS,90,TVERTE,"un hauban acier a décroché alors hauban à ajouter et un hauban acier à revoir  Dégagement de bâtiment et assainissement, allègement",O,2021-09-23T14:04:01.000,TVJV,,DHP
S211,84,620,625,{E11878D4-7FE4-4547-9F9A-64F8D2028CB3},315,VOPA_043,ULXXTR,5,EMPRI,PUB, ,AJTUSE,2021,TVERTE, ,O,2021-09-21T21:24:10.000,TVJV,,DHP
S231,86,699,704,{DE1B77A8-35C2-48A3-8B04-BB94757485A0},60,VOPA_118,ACPL,45,EMPRI,PUB, ,ELCOMP,2024,,Dégager bâtiment,N,,,,DHP
S223,87,733,738,{71DDD2C7-0A7A-41C0-987B-034EA8626DFD},21,VOPA_008,ACSA,77,EMPRI,PUB,"Résident reporte que branches tombées plusieurs fois l'an passé Arbre a l'air OK mais si plaintes se répètent, revérifier",AUC,,,,O,2021-09-27T16:29:39.000,TVJV,,DHP
S151,90,2291,2311,{B4112108-0F8E-474F-A565-A77514B2C319},311,VOPA_078,ACPL,81,EMPRI,PUB,Hauban acier décroché. carie près de fourche secondaire important avec fente active sur branche tertiaire centrale. gélivure sur tronc et branche primaire côté E,HAFLSS,2022,TVERTE,hauban à remplacer mais sur une branche voisin car la branche tertiaire centrale dépérissant avec hauban décroché besoin d'être retirer (élagage sécurité),O,2021-09-08T13:46:35.000,TVJV,,DHP
S151,91,2292,2312,{B58EC577-8C24-4DD1-B5D6-0EB004EA9A04},317,VOPA_078,ACPL,67,EMPRI,PUB,"longue gélivure ouverte sur le tronc  TV: chancre sur 1/2 de circonférence sur br secondaire O (face inférieure impacts amoindris),   blessures sévères branche primaire côté NO ",,,,,O,2021-09-08T13:24:52.000,TVJV,,DHP
S151,92,2293,2313,{07012A1B-57B0-4E2B-9D35-462A618C640D},337,VOPA_078,ACPL,73,EMPRI,PUB,cavité au tronc mais cicatrisation vigoureux,HAFLSS,2022,TVERTE,hauban à ajouter pour fourche secondaire côté O. revoir hauban acier pour fourche primaire en même temps.,O,2021-09-08T12:58:06.000,TVJV,,DHP
S151,93,2294,2314,{CBA3AC2E-AB6E-4388-98DA-7C7C1F566D64},343,VOPA_078,ACPL,68,EMPRI,PUB,racine encerclante au tronc et légère inclinaison au tronc,HAFLSS,90,TVERTE, haubanage pour fourche primaire et assainissement pour bois mort  (allègement contre l'inclinaison déjà effectué),O,2021-09-08T12:39:11.000,TVJV,,DHP
S151,95,2296,2316,{7BAA5DD5-E62F-475A-A10B-F1C2E7441D50},361,VOPA_078,ACPL,46,EMPRI,PUB,blessure sous la tête de l'arbre important mais cibles mineurs,AUC,,, ,O,2021-09-08T12:06:30.000,TVJV,,DHP
S151,96,2297,2317,{6AD68132-BE05-452D-A7C5-A883F7E493B4},365,VOPA_078,ACSA,53,EMPRI,PUB, ,AUC,,, ,O,2021-09-08T12:02:40.000,TVJV,,DHP
S151,97,2298,2318,{152B9426-30F5-4008-8334-938C97C1E7A6},367,VOPA_078,ACPL,49,EMPRI,PUB,petite blessure sur le tronc,AUC,,, ,O,2021-09-08T12:00:17.000,TVJV,,DHP
S151,99,2300,2320,{BFC292F6-99B7-45FE-A375-CCBD26F97D01},375,VOPA_078,ACPL,78,EMPRI,PUB,"Ancienne longue gélivure sur le tronc, dépérissement NFU: pas de commentaires",INSPRE,2022,TVERTE,état général à suivre après construction,O,2021-09-07T18:04:15.000,TVJV,,DHP
S151,100,2301,2321,{93399016-ABEB-4E8E-B5DC-1EA590280A0A},377,VOPA_078,TIAM,59,EMPRI,PUB,"Longue fente ouverte ave carie sur le tronc inclusions d'écorce Hauban avec sleeve, NFU: pas de commentaires",INSPRE,2022,TVERTE, excavation racines important,O,2021-09-07T17:52:38.000,TVJV,,DHP
S151,101,2307,2327,{B72FAE79-BE94-474F-91FF-C2589706B3E4},4444,VOPA_121,ACPL,74,EMPRI,PUB,,AUC,,, ,O,2021-09-07T17:29:51.000,TVJV,,DHP
S151,102,2308,2328,{2BB59FE4-51D6-43AE-95AB-2047B6BD5646},4444,VOPA_121,ACPL,83,EMPRI,PUB,"hauban acier décroché, bois mort",HAFLSS,2022,TVERTE, haubanage en V plus assainissement,O,2021-09-07T17:40:42.000,TVJV,,DHP
S150,103,2309,2329,{FE2B6EA8-2213-4C6A-9E60-2289D7D4ED05},4384,VOPA_121,ELAN,45,EMPRI,PUB,,INSPRE,2023,TVERTE, carie important mais allègement déjà effectué car il ya des blessures ouvertes d'elagage importants. état général à surveiller,O,2021-09-03T17:47:21.000,TVJV,,DHS
S152,104,2310,2330,{AB3E1504-0000-4E7B-AD58-0816D0991859},4444,VOPA_121,ACPL,44,EMPRI,PUB,Branches mortes,HAFLSS,2022,TVERTE, assainissement bois mort et allègement branches secondaires côté O aussi,O,2021-09-09T13:13:33.000,TVJV,,DHP
S152,105,2311,2331,{EC8A8CD8-9A39-4AA3-BF68-A1B108D2394A},372,VOPA_067,ACPL,75,EMPRI,PUB,"batiment Longue fente ouverte carie de pied, champignons au pied. TV-JV fourche primaire faible et chancre important sur branche primaire côté O associé avec une blessure carié important (risque de bris)",HAFLSS,90,TVERTE, haubanage triangulaire,O,2021-09-09T13:22:45.000,TVJV,,DHP
S152,106,2312,2332,{43EEFE42-FED0-439E-BE87-CB3E70A8E821},370,VOPA_067,ACFRAB,53,EMPRI,PUB, ,AUC,,, ,O,2021-09-09T13:26:09.000,TVJV,,DHP
S152,108,2314,2334,{56753C8F-CA52-4D84-8702-7091C9F9723D},360,VOPA_067,ACFRAB,56,EMPRI,PUB,Nid écureuils cavité primaire ouest,AUC,,, ,O,2021-09-09T13:36:27.000,TVJV,,DHP
S152,109,2315,2335,{3E5D9016-2AE0-40CF-AE3B-FF8FCB56A0F1},356,VOPA_067,QUBI,9,EMPRI,PUB,,AUC,,,,O,2021-09-09T13:43:03.000,TVJV,,DHP
S152,110,2316,2336,{ABD16434-9BC0-4355-9326-1DC554808E7A},350,VOPA_067,ACPL,70,EMPRI,PUB,"petites gélivures sur charpentières longue gélivure fermée dans une fourche fente sur l'autre face du tronc petites branches mortes, ",ELASSA,2023,TVERTE,bois mort à retirer mais état général à surveiller à cause des racines blessés et coupés côté NE,O,2021-09-09T17:49:01.000,TVJV,,DHP
S152,111,2317,2337,{48844ACA-21C8-4169-B07F-44B8661DE214},338,VOPA_067,ACPLCK,37,EMPRI,PUB, ,AUC,,, ,O,2021-09-09T17:33:56.000,TVJV,,DHP
S152,112,2318,2338,{53059EB8-22EB-49D8-B6C0-975837ADD44D},330,VOPA_067,ACSA,70,EMPRI,PUB,"TVJV plusieurs cavités exposés sur branche secondaire côté O, blessure malfermée avec carie sur une branche secondaire côté S",INSPRE,2022,TVERTE," défauts aux branches secondaires (côté bâtiment) importants avec cime clairsemée à surveiller, ça fait plus de 40% de la cime vivante. état à suivre l'an prochain car c'est possiblement pas un bon investissement pour un haubanage. ",O,2021-09-09T17:22:47.000,TVJV,,DHP
S152,114,2320,2340,{987D73D7-69EA-465A-B49F-B7FA19664EAC},322,VOPA_067,GLTRIN,39,EMPRI,PUB,,AUC,,, ,O,2021-09-09T15:24:56.000,TVJV,,DHP
S152,116,2322,2342,{73DE9CAD-5D68-4D82-B543-74120C440DE6},312,VOPA_067,ULRU,64,EMPRI,PUB,"tige de métal insérée dans le tronc avec écoulement de sève branches adventives petit chicot avec cavité dans la tete de l'arbre, Batiment",ELASSA,2023,TVERTE, ,O,2021-09-09T14:52:34.000,TVJV,,DHP
S152,117,2323,2343,{46085E7D-DBBF-4BF2-815D-798252524740},312,VOPA_067,ACSA,72,EMPRI,PUB,"batiment, Branches adventives",AUC,,, ,O,2021-09-09T14:38:15.000,TVJV,,DHP
S153,118,2324,2344,{C67D0706-C8D6-44F1-A2D9-4E134799CD9B},312,VOPA_067,GLTRIN,43,EMPRI,PUB,,AUC,,, ,O,2021-09-09T14:25:56.000,TVJV,,DHP
S167,119,2325,2345,{52B7F5D5-C6BB-4AEC-86DF-AD7481DD141A},311,VOPA_067,ACPL,50,EMPRI,PUB,enseigne,INSPRE,2022,TVERTE," dommages au racines jusqu'au collet racinaire, état à suivre. les arbres sur le côté latérale et coin de rue à suivre aussi à cause de l'excavation",O,2021-09-09T14:58:37.000,TVJV,,DHP
S167,120,2326,2346,{48F96072-4DC3-4D60-9523-DD3E40950461},317,VOPA_067,ACSA,54,EMPRI,PUB,"branches adventives, blessure sur une charpentiÃ¨re",ELCOMP,2023,TVERTE," br secondaire NE avec fente carié à retirer, bois mort et gourmands",O,2021-11-02T14:52:06.000,TVJV,,DHP
S167,121,2327,2347,{ACB46F43-FFB7-4FA7-AA7C-1172154A0A3B},321,VOPA_067,ACPL,79,EMPRI,PUB,carie  fourche primaire et branche primaire,INSPRE,2023,TVERTE, dépérissement et carie à suivre avec haubans ,O,2021-09-09T15:22:53.000,TVJV,,DHP
S167,122,2328,2348,{9DD1915F-A150-488A-9359-FBB318A7CFC9},327,VOPA_067,BEPA,36,EMPRI,PUB,"petite cavité dans une charpentière, Lampadaire",ELASSA,2024,TVERTE, ,O,2021-09-09T15:28:10.000,TVJV,,DHP
S167,123,2329,2349,{B93119AA-BD19-4F24-BADB-85DED4792EDA},333,VOPA_067,ACSA,55,EMPRI,PUB, carie racines mais cicatrisation important,AUC,,, ,O,2021-09-09T15:33:08.000,TVJV,,DHP
S167,124,2330,2350,{CDCEC05A-7724-4584-9E08-01298546FC40},347,VOPA_067,ACPLCK,46,EMPRI,PUB,"Espace croissance contraint + compaction cond édaphiques très pauvres abattage imminent, blessures avec carie peu profonde sur le tronc",AUC,,, ,O,2021-09-09T17:39:05.000,TVJV,,DHP
S167,125,2331,2351,{EBF4F82D-217A-4369-B23A-6E0511BD5666},349,VOPA_067,QURU,78,EMPRI,PUB,"inclusion d'Ã©corce, petites branches mortes. Batiment, demande de citoyen avril 2021",ELASSA,2021,WESTGA," a.macdougall.colas@gmail.com. Clear houses, prune only in winter due to oak wilt.",O,2021-04-20T15:08:13.000,WESTGA,,DHP
S167,126,2332,2352,{375E7D8A-9D36-4FBB-B76F-480E1917976B},357,VOPA_067,ACPL,34,EMPRI,PUB,"Codominance majeure, collet trop profond a la plantation ou pose de terre trop en surface après. masse dense + aucune racine charpentière. Branches secondaires surplombantes",ELCOMP,2024,TVERTE, allègement et restructuration cime,O,2021-09-09T13:41:43.000,TVJV,,DHP
S167,127,2333,2353,{4F81032E-8699-4832-8CC8-E5BB7D606BEC},361,VOPA_067,ACPL,82,EMPRI,PUB,"multiples gÃ©livures, branche arrachÃ©e sur une charpentiÃ¨re, hauban accrochÃ© dans un chicot de charpentiÃ¨re et cavitÃ©s dans la charpentiÃ¨re avec grosse branche secondaire au-dessus de la rue. Batiment et lampadaire",AUC,,,,N,,,,DHP
S167,128,2334,2354,{56171463-ECFE-49E1-9201-99B13C6B02F8},4350,VOPA_121,ACFRAB,81,EMPRI,PUB, Branches adventives,ELCOMP,2024,TVERTE, dégagement et suppression de gourmands,O,2021-09-09T13:05:15.000,TVJV,,DHP
S168,129,2335,2355,{AD395615-D062-4627-815A-143BD9540698},4350,VOPA_121,CEOCPS,9,EMPRI,PUB,"dÃ©perrissement A 50%, trous de pics, branches adventives, signes d'agrile",AUC,,,,O,2021-09-03T19:22:45.000,TVJV,,DHP
S168,130,2336,2356,{38614822-4033-4E43-AB4F-97AEF282E77B},4342,VOPA_121,ACSA,37,EMPRI,PUB,,AUC,,, ,O,2021-09-03T19:25:02.000,TVJV,,DHP
S168,131,2337,2357,{807F299D-5102-4A09-B804-4EAE68F62AD8},4342,VOPA_121,ACSA,49,EMPRI,PUB,,AUC,,, ,O,2021-09-03T19:27:11.000,TVJV,,DHP
S169,132,2338,2358,{0324E45A-FC78-4473-8C96-95EC52A7E3FC},376,VOPA_109,ACPL,73,EMPRI,PUB,"grosse blessure de la fourche aux racines, petites branches mortes",HAFLSS,90,TVERTE, haubanage triangulaire ,O,2021-09-10T14:06:46.000,TVJV,,DHP
S169,133,2339,2359,{DA816F47-E034-4D6F-A2ED-16589682BDB5},376,VOPA_109,ACPL,47,EMPRI,PUB,batiment et enseigne,AUC,,, ,O,2021-09-10T14:11:34.000,TVJV,,DHP
S169,135,2341,2361,{715E110A-45B7-4210-8652-C650F3B71056},368,VOPA_109,ACSA,80,EMPRI,PUB,inclusion d'écorce petite cavité sur une branche,ELASSA,2022,TVERTE, ,O,2021-09-10T14:41:17.000,TVJV,,DHP
S169,136,2342,2362,{80E3D656-DE36-4B65-98F6-8E2937E85D37},346,VOPA_109,ACPL,50,EMPRI,PUB,,ABSECT,2021,TVERTE, ,O,2021-09-10T15:17:32.000,TVJV,,DHP
S169,138,2344,2364,{E3EFFBCC-F6CD-42A6-BDE4-008F04078BAF},336,VOPA_109,ACRU,37,EMPRI,PUB,"carence minérale, petite blessure au pied",AUC,,, ,O,2021-09-10T15:22:51.000,TVJV,,DHP
S169,139,2345,2365,{1963AF7F-4357-4DF2-B9B4-A661D8A81B2B},332,VOPA_109,ULAMNH,11,EMPRI,PUB,"batiment. DÃ©perrissement, longue fente dans la fourche avec carie superficielle, lumiÃ¨re insÃ©rÃ©e dans l'arbre",INSPRE,30,WESTHA," Parlé au responsable du chantier, arbre non protégé ",N,,,,DHP
S169,140,2346,2366,{0A799F5A-F245-4233-8AA0-9A2AA0BD73A6},328,VOPA_109,GLTRIN,34,EMPRI,PUB, ,AUC,,, ,O,2021-09-10T15:29:38.000,TVJV,,DHP
S169,141,2347,2367,{F8B58374-0122-41FE-88C8-03B8F3048858},320,VOPA_109,ACPL,37,EMPRI,PUB, ,AUC,,, ,O,2021-09-10T16:53:33.000,TVJV,,DHP
S158,142,2348,2368,{B995778C-BC75-4E6A-8B74-55265DF03595},320,VOPA_109,ACPL,61,EMPRI,PUB,"blessure sur br primaire côté SE avec fente sur br secondaire côté E, bois mort en cime, nécrose au tronc",HAFLSS,2022,TVERTE,"fourche secondaire centrale chancré à haubaner après de retirer la branche tertiaire centrale (chancre, fente active) et bois mort",O,2021-09-10T17:10:18.000,TVJV,,DHP
S158,143,2349,2369,{18089FF1-CF26-4DCF-94C5-CF1C27AC1153},320,VOPA_109,ACPL,86,EMPRI,PUB,"branches mortes, gélivures, longue gélivure ouverte avec enfoncement du tronc, loupes, grosse loupe avec carie profonde, cavité dans la fourche. TV-JV blessure d'elagage carié important sur br primaire côté O",ABSECT,90,TVERTE,,O,2021-09-10T17:54:26.000,TVJV,,DHP
S166,144,2350,2370,{C9AFB545-08E9-451D-9A89-84DF1F76994F},319,VOPA_109,TIAM,51,EMPRI,PUB,"criblure des feuilles, noeuds mal refermés",ELDEGA,2024,TVERTE, ,O,2021-09-14T14:35:13.000,TVJV,,DHP
S170,145,2351,2371,{A9540692-F756-4A19-A78F-0BDA813160A6},319,VOPA_109,ACPL,78,EMPRI,PUB,"petite cavité sur une charpentière le long de la gélivure, branches mortes",ELASSA,2023,TVERTE, ,O,2021-09-10T17:44:14.000,TVJV,,DHP
